taxon_id	scientific_name	vernacular_name_en	vernacular_name_fi	taxon_rank	is_bird
MX.26373	Anas platyrhynchos	Mallard	sinisorsa	species	True
MX.26382	Anas acuta	Northern Pintail	jouhisorsa	species	True
MX.26388	Anas querquedula	Garganey	heinätavi	species	True
MX.26394	Anas clypeata	Northern Shoveler	lapasorsa	species	True
MX.26402	Netta rufina	Red-crested Pochard	punapäänarsku	species	True
MX.26407	Aythya ferina	Common Pochard	punasotka	species	True
MX.26412	Aythya nyroca	Ferruginous Duck	ruskosotka	species	True
MX.26415	Aythya fuligula	Tufted Duck	tukkasotka	species	True
MX.26416	Aythya marila	Greater Scaup	lapasotka	species	True
MX.26419	Somateria mollissima	Common Eider	haahka	species	True
MX.26420	Somateria spectabilis	King Eider	kyhmyhaahka	species	True
MX.26423	Polysticta stelleri	Steller's Eider	allihaahka	species	True
MX.26427	Clangula hyemalis	Long-tailed Duck	alli	species	True
MX.26429	Melanitta nigra	Common Scoter	mustalintu	species	True
MX.26431	Melanitta fusca	Velvet Scoter	pilkkasiipi	species	True
MX.26435	Bucephala clangula	Common Goldeneye	telkkä	species	True
MX.26438	Mergellus albellus	Smew	uivelo	species	True
MX.26440	Mergus serrator	Red-breasted Merganser	tukkakoskelo	species	True
MX.26442	Mergus merganser	Common Merganser	isokoskelo	species	True
MX.26472	Pandion haliaetus	Osprey	sääksi	species	True
MX.26488	Pernis apivorus	European Honey Buzzard	mehiläishaukka	species	True
MX.26518	Milvus migrans	Black Kite	haarahaukka	species	True
MX.26519	Milvus milvus	Red Kite	isohaarahaukka	species	True
MX.26530	Haliaeetus albicilla	White-tailed Sea Eagle	merikotka	species	True
MX.26543	Gyps fulvus	Griffon Vulture	hanhikorppikotka	species	True
MX.26557	Circaetus gallicus	Short-toed Snake Eagle	käärmekotka	species	True
MX.26592	Circus cyaneus	Hen Harrier	sinisuohaukka	species	True
MX.26594	Circus macrourus	Pallid Harrier	arosuohaukka	species	True
MX.26596	Circus pygargus	Montagu's Harrier	niittysuohaukka	species	True
MX.26597	Circus aeruginosus	Western Marsh Harrier	ruskosuohaukka	species	True
MX.26639	Accipiter nisus	Eurasian Sparrowhawk	varpushaukka	species	True
MX.26647	Accipiter gentilis	Northern Goshawk	kanahaukka	species	True
MX.26701	Buteo buteo	Common Buzzard	hiirihaukka	species	True
MX.26704	Buteo lagopus	Rough-legged Buzzard	piekana	species	True
MX.26705	Buteo rufinus	Long-legged Buzzard	arohiirihaukka	species	True
MX.26722	Aquila pomarina	Lesser Spotted Eagle	pikkukiljukotka	species	True
MX.26723	Aquila clanga	Greater Spotted Eagle	kiljukotka	species	True
MX.26725	Aquila heliaca	Eastern Imperial Eagle	keisarikotka	species	True
MX.26727	Aquila chrysaetos	Golden Eagle	maakotka	species	True
MX.26734	Aquila pennata	Booted Eagle	pikkukotka	species	True
MX.26792	Falco naumanni	Lesser Kestrel	pikkutuulihaukka	species	True
MX.26796	Falco tinnunculus	Common Kestrel	tuulihaukka	species	True
MX.26805	Falco vespertinus	Red-footed Falcon	punajalkahaukka	species	True
MX.26808	Falco columbarius	Merlin	ampuhaukka	species	True
MX.26811	Falco subbuteo	Eurasian Hobby	nuolihaukka	species	True
MX.26828	Falco peregrinus	Peregrine Falcon	muuttohaukka	species	True
